Sport,Naam,Website,Naam accommodatie,Adres accommodatie,Postcode accommodatie,Plaats accommodatie,Stadsdeel,Aangepast sporten,KvK
Schaken,Schaakvereniging Amsterdam West,www.svamsterdamwest.nl,ASV Bilderdijkpark,Bilderdijkpark 10,1052SB,Amsterdam,West,,
Schaken,Chaturanga,www.chaturanga.nl,BuurtHuis Gein,Wisseloord 83,1107NB,Amsterdam,Zuidoost,,58768947
Schaken,EsPion,www.espion.nl,Buurthuis Quellijn,Quellijnstraat 6,1072XT,Amsterdam,Zuid,,
Schaken,SOPSWEPS'29,www.sopsweps29.nl,Café Batavia,Prins Hendrikkade 85,1012AE,Amsterdam,Centrum,,
Schaken,Fischer Z.,www.fischerz.nl,Café Batavia 1920,Prins Hendrikkade 85,1012AE,Amsterdam,Centrum,,
Schaken,SV Laurierboom-Gambiet,www.laurierboom.nl,Café de Laurierboom,Eerste Laurierdwarsstraat 76,1016PV,Amsterdam,Centrum,,
Schaken,Bijlmer Schaakvereniging Isolani,isolanischaken.wordpress.com,Collectieve ruimte Wooncomplex Groenhoven,Groenhoven 650,1103LT,Amsterdam,Zuidoost,,
Schaken,VAS,www.euronet.nl/users/cor/vas.html,Cygnus Gymnasium,Vrolikstraat 8,1091VG,Amsterdam,Centrum,,
Schaken,Boven IJ - Nieuwendam,www.sv-bovenij.nl,Damstede college,Rode Kruisstraat 83,1025KM,Amsterdam,Noord,,
Schaken,De Raadsheer,www.svderaadsheer.nl,De Poort,Kattenburgerstraat 150,1018JH,Amsterdam,Centrum,,
Schaken,Dovenschaakclub TOG,www.facebook.com/Amsterdamse-Doven-Schaakclub-TOG-1999370573662672,Dovenontmoetingscentrum,Stadhouderskade 89,1073AV,Amsterdam,Centrum,Ja,
Schaken,Zukertort Amstelveen,www.zukertortamstelveen.nl,Go Centrum,Schokland 14,1181HV,Amsterdam,Zuid,,
Schaken,Caϊssa,www.caissa-amsterdam.nl,Huis van de Wijk Lydia,Roelof Hartplein 2,1071TR,Amsterdam,Zuid,,
Schaken,Oosten/toren,www.oostentoren.nl,Koningskerk,James Wattstraat 56,1097DK,Amsterdam,Oost,,
Schaken,ENPS,schaakclub.blogspot.nl,Pastorie Vredeskerk,Pijnackerstraat 9,1072JS,Amsterdam,Zuid,,
Schaken,De Volewijckers,www.schaakverenigingdevolewijckers.nl,Sportpark Buiksloterbanne,Baron de Coubertinlaan 6,1034ZK,Amsterdam,Noord,,
Schaken,Het Grasmat,www.hetgrasmat.nl,Sportpark Drie Burg,Fizeaustraat 10,1097SC,Amsterdam,Oost,,
Schermen,Rana,www.schermvereniging-rana.nl,Apollohal,Apollolaan 4,1077BA,Amsterdam,Zuid,,
Schermen,Scherm Centrum Amsterdam (SCA),www.schermcentrumamsterdam.nl,Frans Otten Stadion,IJsbaanpad 43,1076CV,Amsterdam,Zuid,,40533778
Schermen,ASVV Esprit,www.schermen-esprit.nl,Het Marnix,Marnixplein 1,1015ZN,Amsterdam,Centrum,,
Schermen,Contre Temps,www.contretemps.nl,Het Marnix,Marnixplein 1,1015ZN,Amsterdam,Centrum,,
Schermen,Zaal AmsterdamZuid,www.zaalamsterdamzuid.com,Sporthallen Zuid,Burgerweeshuispad 54,1076EP,Amsterdam,Zuid,,
Skeeler/skate,SKITS,www.skits.nl,Jaap Edenbaan,Radioweg 64,1098NJ,Amsterdam,Oost,,52955214
Skeeler/skate,Noord,gonoord.com,Noord,Aambeeldstraat 12,1021KB,Amsterdam,Noord,,
Skeeler/skate,A.S.S.V. Hogerop,www.hogerop.org,Sporthal De Weeren,Beemsterstraat 1,1023TH,Amsterdam,Noord,,40538504
Skeeler/skate,Survivors RS,www.survivors.nl,Sporthal Oostenburg,Oostenburgergracht 151,1018ND,Amsterdam,Centrum,,40535105
Skeeler/skate,Skatepark,geen website,Sportpark Kadoelen,Sportpark Kadoelen 4,1035NB,Amsterdam,Noord,,
Sloeproeien,Het Juiste Tuig,www.hetjuistetuig.com,Hoek Prins Hendrikkade/Kromme Waal,Kromme Waal 5,1011BS,Amsterdam,Centrum,,
Sloeproeien,Masrova sloeproeivereniging,www.masrova.nl,Masrova,Veemkade 267,1019CZ,Amsterdam,Oost,,40534542
Sloeproeien,Watersportvereniging De Schinkel,www.wvdeschinkel.nl,WV de Schinkel,Jachthavenweg 140,1081KJ,Amsterdam,Zuid,,40532750
Sportschieten,SV 84,www.sv84.nl,Amstelstation,Julianaplein 1,1097DN,Amsterdam,Oost,,40534393
Sportschieten,Treffers De,www.detreffersamsterdam.nl,Amstelstation,Julianaplein 1,1097DN,Amsterdam,Oost,,40530336
Sportschieten,Korps Vrijw. Pol.,,Politie A'dam,,,Amsterdam,Centrum,,
